customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalSpend,AvgChargesPerMonth,tenure_group
5797-APWZC,Female,0,0,0,1,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,90.6,90.6,1,90.6,90.6,0-12
5143-EGQFK,Female,1,0,0,10,0,0,DSL,0,0,0,1,0,0,Month-to-month,1,Electronic check,29.65,291.4,1,296.5,29.139999999999997,0-12
0396-UKGAI,Male,0,0,1,23,1,0,DSL,0,1,0,1,0,0,Month-to-month,1,Bank transfer (automatic),55.3,1284.2,0,1271.8999999999999,55.834782608695654,13-24
9392-XBGTD,Male,0,0,1,27,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.6,581.85,0,556.2,21.55,25-48
8336-TAVKX,Female,1,1,0,72,1,1,DSL,1,1,1,1,0,1,Two year,0,Bank transfer (automatic),78.45,5682.25,0,5648.400000000001,78.92013888888889,61+
0277-ORXQS,Male,0,1,1,66,0,0,DSL,0,0,0,1,1,1,Two year,0,Bank transfer (automatic),50.55,3364.55,0,3336.2999999999997,50.97803030303031,61+
3174-RKMOW,Male,0,1,1,35,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,109.95,3782.4,0,3848.25,108.06857142857143,25-48
7065-YUNRY,Female,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,45.3,45.3,1,45.3,45.3,0-12
8224-DWCKX,Male,1,0,0,12,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),73.3,828.05,0,879.5999999999999,69.00416666666666,0-12
4524-QCSSM,Male,0,0,0,26,0,0,DSL,1,1,0,0,0,1,Month-to-month,1,Bank transfer (automatic),44.65,1156.55,0,1160.8999999999999,44.482692307692304,25-48
6133-OZILE,Female,0,0,0,18,0,0,DSL,0,0,1,1,0,0,Month-to-month,1,Electronic check,35.2,607.3,0,633.6,33.73888888888889,13-24
3082-VQXNH,Male,0,1,0,3,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Credit card (automatic),29.8,94.4,0,89.4,31.46666666666667,0-12
0052-YNYOT,Female,0,0,0,67,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,20.55,1343.4,0,1376.8500000000001,20.050746268656717,61+
0064-SUDOG,Female,0,1,1,12,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.3,224.5,0,243.60000000000002,18.708333333333332,0-12
5307-DZCVC,Female,1,1,0,32,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.95,2628.6,1,2750.4,82.14375,25-48
2642-DTVCO,Male,1,0,0,9,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.05,746.5,1,765.4499999999999,82.94444444444444,0-12
1309-XGFSN,Male,1,1,1,52,1,1,DSL,0,1,1,0,1,1,One year,1,Electronic check,80.85,4079.55,0,4204.2,78.45288461538462,49-60
4359-INNWN,Female,0,0,0,17,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),20.05,337.9,0,340.85,19.876470588235293,13-24
7136-RVDTZ,Male,1,0,0,70,0,0,DSL,0,0,0,0,1,1,One year,1,Electronic check,45.25,3264.45,1,3167.5,46.635,61+
5433-KYGHE,Female,0,0,1,14,1,1,Fiber optic,1,0,0,1,0,0,Month-to-month,1,Mailed check,86.0,1164.05,0,1204.0,83.14642857142857,13-24
1402-PTHGN,Female,0,1,1,18,1,0,DSL,1,1,0,1,0,0,One year,1,Mailed check,61.5,1087.45,0,1107.0,60.41388888888889,13-24
5862-BRIXZ,Male,0,0,0,46,0,0,DSL,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),60.75,2893.4,0,2794.5,62.9,25-48
0011-IGKFF,Male,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,1,1274.0,95.21923076923076,13-24
8456-QDAVC,Male,0,0,0,19,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),78.7,1495.1,0,1495.3,78.68947368421053,13-24
2710-WYVXG,Female,0,0,0,3,1,0,DSL,1,1,0,1,0,1,Two year,0,Mailed check,71.1,213.35,0,213.29999999999998,71.11666666666666,0-12
2236-HILPA,Male,0,1,1,62,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.65,1218.45,0,1280.3,19.65241935483871,61+
2384-OVPSA,Female,1,0,0,38,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.2,735.9,0,767.6,19.36578947368421,25-48
4541-RMRLG,Male,0,0,0,7,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.25,112.3,1,134.75,16.04285714285714,0-12
6416-JNVRK,Female,0,0,0,46,1,0,DSL,0,0,0,0,0,1,One year,0,Credit card (automatic),55.65,2688.85,0,2559.9,58.45326086956521,25-48
6178-KFNHS,Female,0,0,1,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.3,909.25,1,939.5999999999999,75.77083333333333,0-12
3146-JTQHR,Male,0,1,0,10,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.6,189.45,0,196.0,18.945,0-12
6339-YPSAH,Male,0,0,0,9,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.8,704.3,0,664.1999999999999,78.25555555555555,0-12
9828-QHFBK,Male,0,0,0,24,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,51.15,1275.7,0,1227.6,53.15416666666667,13-24
6892-EZDTG,Female,0,1,0,4,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,91.65,365.4,1,366.6,91.35,0-12
0239-OXEXL,Female,0,0,0,46,1,1,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Mailed check,84.25,3847.6,0,3875.5,83.64347826086956,25-48
0248-PGHBZ,Female,1,0,0,67,1,0,Fiber optic,1,1,0,1,1,0,Two year,1,Bank transfer (automatic),92.45,6140.85,0,6194.150000000001,91.65447761194031,61+
8198-RKSZG,Female,0,1,1,14,1,1,DSL,0,1,0,1,1,1,Month-to-month,0,Credit card (automatic),80.45,1137.05,0,1126.3,81.21785714285714,13-24
1051-EQPZR,Female,0,1,1,44,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.6,780.25,0,862.4000000000001,17.732954545454547,25-48
1991-VOPLL,Female,0,0,0,9,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.05,157.65,0,171.45000000000002,17.516666666666666,0-12
2004-OCQXK,Female,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,81.95,81.95,1,81.95,81.95,0-12
0103-CSITQ,Female,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,0,6235.8,109.69649122807017,49-60
1000-AJSLD,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,20.1,20.1,1,20.1,20.1,0-12
0136-IFMYD,Male,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,109.95,7634.25,0,7586.55,110.6413043478261,61+
1163-VIPRI,Female,0,1,1,65,1,1,Fiber optic,1,0,1,1,1,1,Two year,0,Electronic check,109.3,7337.55,0,7104.5,112.88538461538462,61+
1455-HFBXA,Male,0,1,0,52,1,1,Fiber optic,1,0,1,1,0,0,Two year,1,Credit card (automatic),91.6,4627.8,0,4763.2,88.99615384615385,49-60
5712-VBOXD,Female,0,0,0,4,1,0,No,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),20.15,68.45,0,80.6,17.1125,0-12
8992-CEUEN,Female,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,18.85,18.85,0,18.85,18.85,0-12
7359-PTSXY,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,45.75,45.75,1,45.75,45.75,0-12
0742-LAFQK,Male,0,1,0,72,1,1,Fiber optic,1,1,1,0,0,1,Two year,1,Electronic check,99.15,7422.1,0,7138.8,103.08472222222223,61+
4598-ZADCK,Female,0,0,0,53,0,0,DSL,1,1,1,1,1,0,One year,1,Electronic check,53.6,2879.2,0,2840.8,54.32452830188679,49-60
5115-GZDEL,Male,0,0,1,72,0,0,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),67.2,4671.7,0,4838.400000000001,64.88472222222222,61+
7538-GWHML,Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,69.65,145.15,1,139.3,72.575,0-12
3258-SYSWS,Male,1,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),113.8,7845.8,0,8193.6,108.96944444444445,61+
3165-HDOEW,Male,0,1,1,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,45.85,45.85,1,45.85,45.85,0-12
3967-VQOGC,Female,0,1,1,67,1,1,No,0,0,0,0,0,0,Two year,1,Mailed check,24.9,1680.25,0,1668.3,25.078358208955223,61+
1133-KXCGE,Female,0,0,0,18,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.1,407.05,0,361.8,22.61388888888889,13-24
5804-LEPIM,Female,1,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.35,139.05,1,140.7,69.525,0-12
9033-EOXWV,Female,0,0,0,12,1,1,DSL,0,0,0,1,1,1,One year,0,Mailed check,74.05,872.65,1,888.5999999999999,72.72083333333333,0-12
4615-PIVVU,Female,0,0,0,42,1,0,DSL,0,0,1,1,0,1,Two year,0,Credit card (automatic),66.5,2762.75,0,2793.0,65.7797619047619,25-48
6302-JGYRJ,Male,0,0,1,31,1,1,DSL,0,1,0,1,1,1,One year,1,Mailed check,79.45,2587.7,1,2462.9500000000003,83.47419354838709,25-48
1122-YJBCS,Male,0,1,0,69,1,0,DSL,1,1,0,0,0,0,One year,1,Credit card (automatic),53.65,3804.4,0,3701.85,55.13623188405797,61+
6736-DHUQI,Female,0,1,1,67,1,0,Fiber optic,1,1,1,0,0,0,One year,0,Bank transfer (automatic),84.8,5598.3,0,5681.599999999999,83.55671641791045,61+
6582-PLFUU,Male,0,1,1,51,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.55,1086.75,0,997.0500000000001,21.308823529411764,49-60
2662-NNTDK,Male,0,0,0,65,1,1,No,0,0,0,0,0,0,One year,0,Credit card (automatic),24.8,1600.95,0,1612.0,24.63,61+
7407-SUJIZ,Male,0,0,0,25,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.6,541.5,0,515.0,21.66,25-48
0348-SDKOL,Female,0,1,0,58,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Credit card (automatic),102.1,5885.4,1,5921.799999999999,101.47241379310344,49-60
5732-IKGQH,Male,1,1,0,52,1,0,Fiber optic,1,0,1,1,1,1,One year,1,Bank transfer (automatic),104.45,5481.25,0,5431.400000000001,105.40865384615384,49-60
4360-QRAVE,Male,1,0,0,37,0,0,DSL,0,1,1,0,0,0,Month-to-month,0,Electronic check,36.65,1315.0,0,1356.05,35.54054054054054,25-48
7356-AYNJP,Female,0,0,0,4,1,1,No,0,0,0,0,0,0,One year,0,Electronic check,23.9,97.5,0,95.6,24.375,0-12
0929-PECLO,Female,1,0,0,63,1,1,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Bank transfer (automatic),89.6,5538.8,0,5644.799999999999,87.91746031746032,61+
3927-NLNRY,Male,0,1,0,53,1,0,Fiber optic,0,1,0,0,1,1,One year,1,Bank transfer (automatic),94.25,4867.95,1,4995.25,91.84811320754717,49-60
5651-YLPRD,Female,0,1,1,32,1,0,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,86.1,2723.75,0,2755.2,85.1171875,25-48
8294-UIMBA,Female,0,0,0,30,1,0,Fiber optic,0,0,0,1,1,1,One year,1,Bank transfer (automatic),94.4,2638.1,0,2832.0,87.93666666666667,25-48
2982-VPSGI,Female,0,1,0,11,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,94.0,1078.9,1,1034.0,98.08181818181819,0-12
2253-KPMNB,Female,0,1,1,69,0,0,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),46.25,3121.4,0,3191.25,45.23768115942029,61+
6701-DHKWQ,Female,0,1,1,61,0,0,DSL,0,1,1,1,1,0,Two year,0,Credit card (automatic),51.35,3244.4,0,3132.35,53.18688524590164,61+
9734-YWGEX,Female,0,0,0,9,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Credit card (automatic),98.3,923.5,1,884.6999999999999,102.61111111111111,0-12
5366-OBVMR,Female,0,1,0,18,1,0,DSL,0,0,0,1,0,0,Month-to-month,1,Mailed check,50.3,908.75,0,905.4,50.486111111111114,13-24
3359-DSRKA,Female,0,1,1,58,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.85,1158.85,0,1151.3000000000002,19.980172413793102,49-60
